,path,w,h,k,use8neighbors,structure,read_file_time,convert_time,tiempo_algoritmo,disk_time,var,tiempo total,tiemp_algoritmo,tiempo algoritmo (millisegs),tiempo algoritmo,filename,clusters,iteration,iteracion,imagen
86,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
87,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,4874,1.0,1,mandril
88,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
89,gray_mandril.txt,141,141,10,1,2,13.0,151,42,2.0,45,209,42.0,40.0,42,gray_mandril.txt,1239,1.0,1,mandril
90,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,2566,1.0,1,reloj
91,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,2566,1.0,1,reloj
92,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,858,1.0,1,reloj
93,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,858,1.0,1,reloj
94,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,2566,1.0,1,reloj
95,gray_clock.txt,141,141,10,0,0,12.0,188169,6987,2.0,6990,195172,6987.0,6985.0,6987,gray_clock.txt,858,1.0,1,reloj
96,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,2566,1.0,1,reloj
97,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,2566,1.0,1,reloj
98,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,858,1.0,1,reloj
99,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,858,1.0,1,reloj
100,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,2566,1.0,1,reloj
101,gray_clock.txt,141,141,10,1,0,11.0,129,9184,2.0,9186,9327,9184.0,9182.0,9184,gray_clock.txt,858,1.0,1,reloj
102,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,2566,1.0,1,reloj
103,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,2566,1.0,1,reloj
104,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,858,1.0,1,reloj
105,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,858,1.0,1,reloj
106,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,2566,1.0,1,reloj
107,gray_clock.txt,141,141,10,0,1,11.0,174218,30,3.0,33,174263,30.0,27.0,30,gray_clock.txt,858,1.0,1,reloj
108,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
109,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
110,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
111,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
112,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
113,gray_clock.txt,141,141,10,1,1,14.0,133,39,2.0,41,189,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
114,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,2566,1.0,1,reloj
115,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,2566,1.0,1,reloj
116,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,858,1.0,1,reloj
117,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,858,1.0,1,reloj
118,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,2566,1.0,1,reloj
119,gray_clock.txt,141,141,10,0,2,15.0,196982,42,3.0,46,197044,42.0,39.0,42,gray_clock.txt,858,1.0,1,reloj
120,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,2566,1.0,1,reloj
